CGA,Placed
9.36,1
5.26,0
8.73,1
8.49,1
7.57,1
7.12,0
9.95,1
7.13,1
5.43,0
8.78,1
9.65,1
5.22,0
9.36,1
9.9,1
5.59,0
9.43,1
7.32,1
7.74,1
8.59,1
6.32,0
5.26,0
5.66,0
6.23,0
6.5,0
9.92,1
8.95,1
9.42,1
8.43,1
6.41,1
5.83,0
6.72,1
9.97,1
8.57,1
9.07,1
5.48,0
5.58,0
6.59,0
7.93,1
9.68,1
9.32,1
5.67,0
9.63,1
9.52,1
6.33,0
8.48,1
7.76,1
9.01,1
9.91,1
9.27,1
6.61,0
6.92,0
5.65,0
5.79,0
8.27,1
7.52,1
8.24,1
8.06,1
8.58,1
8.07,1
5.46,0
5.55,0
9.47,1
5.81,0
9.07,1
9.03,1
9.78,1
6.8,0
9.18,1
7.73,1
6.34,0
9.1,1
9.08,1
6.05,0
5.02,0
6.29,1
8.74,1
5.54,0
6.15,0
8.23,1
8.29,1
7.48,1
9.8,1
8.18,1
7.79,0
9.48,1
8.39,1
6.29,1
7.25,0
7.17,1
8.31,1
7.98,1
8.85,1
6.96,1
7.12,0
8.07,1
8.32,1
5.57,0
5.84,0
5.86,0
6.84,0
6.55,0
5.61,0
6.85,0
5.52,0
7.69,1
5.59,0
6.16,0
8.42,1
5.12,0
8.73,1
6.46,0
9.35,1
9.07,1
9.33,1
9.94,1
5.89,0
8.9,1
7.48,1
6.88,1
5.12,0
7.05,0
6.8,0
6.21,0
8.44,1
8.71,1
6.71,0
8.05,1
8.42,1
6.32,0
7.98,1
8.87,1
7.46,0
6.98,1
5.69,0
7.06,0
7.64,0
7.94,1
6.7,0
9.63,1
5.71,0
7.65,1
5.42,0
7.86,1
5.07,0
6.59,0
7.68,0
8.48,1
5.15,0
7.83,0
8.76,1
8.53,1
8.04,1
5.66,0
9.25,1
6.31,0
9.26,1
5.69,0
5.42,0
6.79,0
5.3,0
5.26,0
8.46,1
7.44,1
5.64,0
6.74,0
9.71,1
7.16,1
5.28,0
5.81,0
9.01,1
7.01,0
9.64,1
9.48,1
6.7,0
9.8,1
8.37,1
6.87,0
6.54,0
6.27,0
9.52,1
6.09,0
5.7,0
9.53,1
5.54,0
9.76,1
9.88,1
5.65,0
5.8,0
5.19,0
7.89,1
5.75,0
7.22,1
6.09,0
8.41,1
9.59,1
8.3,1
7.9,1
9.11,1
5.79,0
7.33,1
6.3,0
6.97,0
8.48,1
6.21,0
8.48,1
7.83,1
