Age,EstimatedPrice,Purchased
63,49420,0
57,32737,0
45,44013,0
42,57845,0
34,25235,1
19,64180,0
18,30477,0
48,47345,1
19,30346,0
31,69472,0
68,47063,1
29,29905,1
60,28198,0
57,40815,1
51,41538,1
34,63374,0
53,34968,1
36,59948,1
67,50394,1
57,49644,1
64,60575,0
44,47954,0
41,24417,1
54,64302,0
45,62985,0
19,55497,0
30,54667,0
65,48137,0
57,56487,1
35,33448,0
62,54870,1
39,31831,1
57,58271,0
33,23367,0
39,33149,1
52,50193,0
34,40813,0
41,34164,1
68,30220,1
38,21986,1
61,37083,0
23,65685,0
25,63562,1
48,28408,1
61,28710,0
44,38909,0
45,30508,0
63,65145,0
40,23494,1
48,20451,0
55,49448,1
40,40233,0
22,47722,1
51,32361,1
28,23028,0
42,49592,0
24,47510,0
41,38709,0
33,59792,0
41,51090,1
54,42534,1
33,30015,0
30,34550,1
33,54375,1
61,47651,1
63,33525,1
57,64139,0
47,32545,0
55,33039,0
21,26886,0
19,36573,1
31,28685,1
55,56991,0
41,42582,1
32,38734,1
39,36076,1
39,34978,1
38,54453,1
23,58466,0
42,41766,0
35,58083,1
38,20854,0
61,69536,1
22,32600,0
34,33304,0
68,45956,0
21,28047,1
58,39048,0
24,44824,0
25,59859,1
59,25401,0
22,22589,0
57,33732,1
62,35060,0
45,31869,1
45,48617,1
62,28199,1
29,33651,0
47,38752,1
26,56184,1
24,22430,0
69,63339,0
29,65061,0
32,31200,1
61,38676,0
48,56723,1
42,45895,1
54,25804,0
59,54113,0
65,65584,1
36,67719,0
31,34376,0
20,64878,0
32,54665,0
29,68829,0
26,36685,0
61,53288,0
27,52297,0
60,55065,1
46,60338,1
59,67350,0
32,51937,0
44,53427,1
43,39561,0
45,41781,1
19,67723,1
46,33109,0
19,21154,0
37,44287,0
63,50017,1
35,51042,0
58,61872,0
30,69271,0
30,60797,1
43,60492,1
47,61617,0
35,63260,0
63,40696,0
20,51411,1
28,53343,1
43,41195,1
20,53926,0
68,39511,0
62,33033,0
42,60777,1
57,40654,0
62,62582,0
58,47011,0
50,50835,0
38,35538,1
35,27512,1
48,40284,1
63,51477,1
30,58944,0
29,21893,1
32,39426,0
63,25282,0
44,41334,1
26,61575,0
40,53095,0
22,34763,1
34,69842,1
32,69342,1
45,48600,0
30,66585,0
29,28887,0
40,25979,1
33,47292,0
67,32964,1
21,65695,0
45,61556,0
27,31034,0
18,23375,1
23,65572,0
40,31044,1
20,38931,0
66,65764,0
45,39681,0
44,47924,0
38,32589,0
51,24862,1
50,30355,0
69,40773,0
60,68364,1
32,55867,0
42,53241,0
19,45798,0
46,33337,0
68,33504,0
48,54285,1
58,22105,0
68,53950,1
27,30378,0
39,65586,1
33,21548,0
40,47038,1
61,62146,1
21,48259,0
63,47527,1
22,60063,1
48,56509,1
23,33065,1
18,43966,1
55,69906,0
62,56785,0
58,41459,1
29,20046,0
68,40531,1
36,29294,0
59,48577,0
44,21456,0
66,61935,0
63,44246,1
54,64370,0
65,21555,0
39,31449,0
53,36254,0
64,53194,1
47,35392,1
49,21614,0
42,61768,1
22,46785,1
23,20408,0
32,36617,0
34,39121,0
